Комнаты;Площадь;Этаж;Этажность;Информация по срокам сдачи;Ипотека и скадки;Наименование ЖК;Станция метро;Район;Микрорайон;Зайстройщик;Осталось квартир;Цена за м²
2.0;36.77;4.0;31.0;Секция 2 • Сдача корпуса 4 кв. 2027;Скидка 10%;ЖК «Чаадаев»;Площадь 1905 года;р-н Кировский;мкр. Втузгородок;Практика;Ещё 5 таких же квартир в этом ЖК;203741.0
1.0;23.87;8.0;25.0;Сдача корпуса 2 кв. 2028;Ипотека всего от 0,11% для всех!;ЖК «Риверсайд»;Площадь 1905 года;р-н Верх-Исетский;мкр. ВИЗ;Унистрой;Ещё 16 таких же квартир в этом ЖК;188102.0
;;;;3-комн. квартира, 150 м², 2/9 этаж • Секция 2;С отделкой;ЖК «Клубный дом Литературный»;Динамо;р-н Центр;м. Динамо;Север;Ещё 2 такие же квартиры в этом ЖК;400000.0
2.0;51.19;9.0;25.0;Сдача корпуса 2 кв. 2028;Семейная ипотека 4%;ЖК «Риверсайд»;Площадь 1905 года;р-н Верх-Исетский;мкр. ВИЗ;Унистрой;Ещё 13 таких же квартир в этом ЖК;151592.0
1.0;30.29;2.0;22.0;Сдача корпуса 3 кв. 2026;Скидка до 5% при полной оплате;ЖК «ТЕМП»;Уралмаш;р-н Орджоникидзевский;мкр. Уралмаш;Практика;;180288.0
3.0;50.7;15.0;25.0;Секция 3 • Сдан;IT-ипотека;ЖК «Дом на Ясной»;Чкаловская;р-н Ленинский;мкр. Юго-Западный;Практика;;191245.0
3.0;74.5;2.0;28.0;Сдан;Cемейная ипотека от 4%;ЖК «Екатерининский парк»;Динамо;р-н Центр;м. Динамо;TEN девелопмент;Ещё 2 такие же квартиры в этом ЖК;199345.0
2.0;52.96;2.0;22.0;Секция 3 • Сдан;Скидка до 5% при полной оплате;ЖК «ТЕМП»;Уралмаш;р-н Орджоникидзевский;мкр. Уралмаш;Практика;Ещё 2 такие же квартиры в этом ЖК;160000.0
1.0;32.58;2.0;4.0;Секция 5 • Сдача корпуса 1 кв. 2026;С отделкой;ЖК «Твоя привилегия»;Чкаловская;мкр. Академический;р-н Ленинский;45-й Квартал;Ещё 37 таких же квартир в этом ЖК;155000.0
2.0;102.4;2.0;24.0;Секция Секция 1 • Сдан;Cемейная ипотека от 4%;ЖК «RedRock»;Геологическая;р-н Центр;м. Геологическая;TEN девелопмент;;229494.0
